%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629157744290101920,252,68221000000,,67482814.0,67482834.0,67482859.0,67483638.0
1629157744522190662,253,68391000000,,67650836.0,67650856.0,67650881.0,67651677.0
1629157744575315647,254,68458000000,,67717183.0,67717205.0,67717230.0,67718039.0
1629157744588068032,255,68458000000,,67717183.0,67717205.0,67717230.0,67718039.0
1629157744730602050,256,68587000000,,67845370.0,67845392.0,67845417.0,67846194.0
1629157744980676719,257,68807000000,,68062611.0,68062633.0,68062659.0,68063437.0
1629157745032626263,258,68847000000,,68101473.0,68101497.0,68101525.0,68102344.0
1629157745293322647,259,69248000000,,68497945.0,68497967.0,68497992.0,68498785.0
1629157745307104014,260,69248000000,,68497945.0,68497967.0,68497992.0,68498785.0
1629157745525285394,261,69487000000,,68733767.0,68733789.0,68733814.0,68734599.0
1629157745537872114,262,69487000000,,68733767.0,68733789.0,68733814.0,68734599.0
1629157745680382246,263,69667000000,,68912245.0,68912267.0,68912292.0,68913090.0
1629157745730874606,264,69717000000,,68960806.0,68962441.0,68962469.0,68963262.0
1629157745743636629,265,69757000000,,69001374.0,69001396.0,69001422.0,69002203.0
1629157745771649566,266,69797000000,,69040494.0,69040516.0,69040541.0,69041332.0
1629157745849716744,267,69877000000,,69118914.0,69118936.0,69118961.0,69119761.0
1629157745890491145,268,69927000000,,69169161.0,69169187.0,69169214.0,69170008.0
1629157745967543308,269,70017000000,,69258157.0,69258179.0,69258204.0,69258984.0
1629157746017877336,270,70047000000,,69287240.0,69287265.0,69287292.0,69288124.0
1629157746055539018,271,70097000000,,69337396.0,69337418.0,69337443.0,69338244.0
1629157746213396935,272,70277000000,,69515485.0,69515507.0,69515532.0,69516318.0
1629157746227219300,273,70277000000,,69515485.0,69515507.0,69515532.0,69516318.0
1629157746305298281,274,70448000000,,69683837.0,69683858.0,69683884.0,69684663.0
1629157746318269132,275,70448000000,,69683837.0,69683858.0,69683884.0,69684663.0
1629157746423475523,276,70587000000,,69821690.0,69821712.0,69821737.0,69822521.0
1629157746475593665,277,70627000000,,69860521.0,69860541.0,69860566.0,69861342.0
1629157746488249738,278,70627000000,,69860521.0,69860541.0,69860566.0,69861342.0
1629157746671061721,279,70797000000,,70028891.0,70028912.0,70028938.0,70029735.0
1629157746867062251,280,70967000000,,70196996.0,70197016.0,70197041.0,70197840.0
1629157746892476157,281,71018000000,,70247240.0,70247260.0,70247285.0,70248076.0
