%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153482925601984,8640,854489000000,,844500559.0,844500581.0,844500606.0,844501339.0
1629153482938458293,8641,854518000000,,844529981.0,844530003.0,844530029.0,844530745.0
1629153482965170352,8642,854598000000,,844609060.0,844609082.0,844609107.0,844609109.0
1629153482977966038,8643,854648000000,,844658592.0,844658614.0,844658640.0,844658641.0
1629153482992056736,8644,854648000000,,844658592.0,844658614.0,844658640.0,844658641.0
1629153482993799434,8645,854668000000,,844678550.0,844678572.0,844678597.0,844679314.0
1629153483006834259,8646,854678000000,,844687957.0,844687979.0,844688004.0,844688006.0
1629153483019753217,8647,854698000000,,844707747.0,844707769.0,844707794.0,844707796.0
1629153483032702137,8648,854698000000,,844707747.0,844707769.0,844707794.0,844707796.0
1629153483045527925,8649,854729000000,,844737986.0,844738007.0,844738033.0,844738745.0
1629153483072148141,8650,854738000000,,844747381.0,844747403.0,844747428.0,844747429.0
1629153483085016673,8651,854768000000,,844776653.0,844776675.0,844776700.0,844776702.0
1629153483099535921,8652,854808000000,,844816579.0,844816600.0,844816626.0,844816627.0
1629153483112493502,8653,854818000000,,844826199.0,844826221.0,844826246.0,844826248.0
1629153483125375932,8654,854838000000,,844845988.0,844846010.0,844846036.0,844846037.0
1629153483138165961,8655,854858000000,,844865241.0,844865263.0,844865288.0,844866001.0
1629153483151057541,8656,854878000000,,844886036.0,844886058.0,844886084.0,844886085.0
1629153483176424582,8657,854888000000,,844895933.0,844895954.0,844895980.0,844895981.0
1629153483189258053,8658,854898000000,,844905842.0,844905864.0,844905889.0,844905891.0
1629153483190932375,8659,854918000000,,844925649.0,844925671.0,844925700.0,844925701.0
1629153483216487920,8660,854938000000,,844945474.0,844945496.0,844945521.0,844945523.0
1629153483229216628,8661,854968000000,,844974752.0,844974774.0,844974799.0,844974801.0
1629153483242102271,8662,854968000000,,844974752.0,844974774.0,844974799.0,844974801.0
1629153483254966682,8663,854978000000,,844984512.0,844984534.0,844984559.0,844984561.0
1629153483267958066,8664,854988000000,,844994564.0,844994586.0,844994611.0,844994613.0
1629153483280892319,8665,854998000000,,845004472.0,845004493.0,845004519.0,845004520.0
1629153483293799124,8666,854998000000,,845004472.0,845004493.0,845004519.0,845004520.0
1629153483295531486,8667,855018000000,,845024294.0,845024316.0,845024341.0,845024342.0
1629153483308421110,8668,855038000000,,845042972.0,845042994.0,845043020.0,845043728.0
1629153483321383439,8669,855058000000,,845063899.0,845063921.0,845063946.0,845063947.0
1629153483334212720,8670,855058000000,,845063899.0,845063921.0,845063946.0,845063947.0
1629153483347086071,8671,855078000000,,845083710.0,845083732.0,845083757.0,845083759.0
1629153483373706776,8672,855088000000,,845093453.0,845093475.0,845093500.0,845093502.0
1629153483386569441,8673,855098000000,,845103535.0,845103557.0,845103586.0,845103587.0
1629153483388418089,8674,855108000000,,845113425.0,845113450.0,845113475.0,845113477.0
1629153483401332158,8675,855128000000,,845133238.0,845133260.0,845133285.0,845133287.0
1629153483414287643,8676,855128000000,,845133238.0,845133260.0,845133285.0,845133287.0
1629153483427096530,8677,855148000000,,845153048.0,845153070.0,845153095.0,845153097.0
1629153483452678474,8678,855168000000,,845172301.0,845172323.0,845172349.0,845173064.0
1629153483621313288,8679,855178000000,,845182043.0,845182065.0,845182090.0,845182802.0
1629153483634438838,8680,855188000000,,845191601.0,845191623.0,845191648.0,845192355.0
1629153483661167519,8681,855198000000,,845201165.0,845201187.0,845201213.0,845201926.0
1629153483674070064,8682,855218000000,,845222231.0,845222253.0,845222278.0,845222280.0
1629153483687034349,8683,855238000000,,845241234.0,845241256.0,845241282.0,845241993.0
1629153483688768526,8684,855258000000,,845261037.0,845261059.0,845261084.0,845261086.0
1629153483702212626,8685,855268000000,,845271420.0,845271442.0,845271468.0,845272200.0
1629153483727701611,8686,855279000000,,845281507.0,845281529.0,845281555.0,845282266.0
1629153483741644243,8687,855279000000,,845281507.0,845281529.0,845281555.0,845282266.0
1629153483754503556,8688,855298000000,,845300492.0,845300514.0,845300539.0,845300541.0
1629153483767421256,8689,855308000000,,845310974.0,845310996.0,845311021.0,845311756.0
1629153483780197387,8690,855328000000,,845330252.0,845330274.0,845330300.0,845331011.0
1629153483793085684,8691,855328000000,,845330252.0,845330274.0,845330300.0,845331011.0
1629153483794839068,8692,855348000000,,845350035.0,845350056.0,845350082.0,845350792.0
1629153483895944332,8693,855368000000,,845369418.0,845369440.0,845369465.0,845370177.0
1629153483949466227,8694,855378000000,,845380313.0,845380335.0,845380360.0,845381071.0
1629153483974935586,8695,855388000000,,845389637.0,845389659.0,845389684.0,845389686.0
1629153483987836594,8696,855398000000,,845399683.0,845399705.0,845399730.0,845399732.0
1629153484002135211,8697,855408000000,,845409236.0,845409256.0,845409286.0,845409288.0
1629153484014998435,8698,855428000000,,845428669.0,845428694.0,845428719.0,845429430.0
1629153484041499501,8699,855448000000,,845448656.0,845448677.0,845448703.0,845449415.0
1629153484054516097,8700,855478000000,,845478372.0,845478394.0,845478419.0,845479136.0
1629153484067419061,8701,855488000000,,845488702.0,845488724.0,845488750.0,845489461.0
1629153484081341020,8702,855488000000,,845488702.0,845488724.0,845488750.0,845489461.0
1629153484122211523,8703,855508000000,,845508161.0,845508183.0,845508208.0,845508923.0
1629153484147729981,8704,855528000000,,845527954.0,845527976.0,845528002.0,845528717.0
