%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2
1629424777816340658,2558,160558000000,,-1.55802285671,-0.00605955906212,1.42292833328
1629424777831540728,2559,160558000000,,-1.55802285671,-0.00605955906212,1.42292833328
1629424777905140330,2560,160648000000,,-1.51902830601,0.00793639756739,1.3706189394
1629424777920212519,2561,160648000000,,-1.51902830601,0.00793639756739,1.3706189394
1629424777934807269,2562,160678000000,,-1.50502038002,0.0119616836309,1.35632693768
1629424777949653310,2563,160678000000,,-1.50502038002,0.0119616836309,1.35632693768
1629424777995676065,2564,160738000000,,-1.47503077984,0.0189396739006,1.31947350502
1629424778010010513,2565,160738000000,,-1.47503077984,0.0189396739006,1.31947350502
1629424778025406001,2566,160778000000,,-1.45102357864,0.0229578576982,1.30193388462
1629424778040731159,2567,160778000000,,-1.45102357864,0.0229578576982,1.30193388462
1629424778145187179,2568,160888000000,,-1.37903392315,0.0329361967742,1.24562323093
1629424778160477346,2569,160888000000,,-1.37903392315,0.0329361967742,1.24562323093
1629424778175110788,2570,160919000000,,-1.35602474213,0.0339439660311,1.23355460167
1629424778189387826,2571,160919000000,,-1.35602474213,0.0339439660311,1.23355460167
1629424778265785928,2572,161009000000,,-1.28003263474,0.035944160074,1.20066380501
1629424778279928520,2573,161009000000,,-1.28003263474,0.035944160074,1.20066380501
1629424778355681840,2574,161099000000,,-1.19215846062,0.0329005680978,1.16599702835
1629424778369872902,2575,161099000000,,-1.19215846062,0.0329005680978,1.16599702835
1629424778415241517,2576,161159000000,,-1.12915730476,0.0268826968968,1.15099608898
1629424778430473016,2577,161159000000,,-1.12915730476,0.0268826968968,1.15099608898
1629424778474991444,2578,161218000000,,-1.07505023479,0.0178909525275,1.14334964752
1629424778488929399,2579,161218000000,,-1.07505023479,0.0178909525275,1.14334964752
1629424778549314889,2580,161289000000,,-0.983136117458,-0.0020257383585,1.14240717888
1629424778563621330,2581,161289000000,,-0.983136117458,-0.0020257383585,1.14240717888
1629424778578304290,2582,161322000000,,-0.948038101196,-0.00905221793801,1.13937652111
1629424778593223107,2583,161322000000,,-0.948038101196,-0.00905221793801,1.13937652111
1629424778639620425,2584,161371000000,,-0.890038967133,-0.0280521735549,1.13416302204
1629424778744901628,2585,161489000000,,-0.771091938019,-0.0741853937507,1.11032545567
1629424778760096111,2586,161489000000,,-0.771091938019,-0.0741853937507,1.11032545567
1629424778775049709,2587,161522000000,,-0.71304166317,-0.102052532136,1.12969148159
